StrategyID:010
RunTime:14:30:00
VRDate:11
AVDate:5
Date,Time,Signal,Index,Shares,Price,CurPL,CumPL
2021-05-06,14:30:00,SELL,399006.XSHE,1000,3021.24,1.04122,1.04381
2021-05-12,14:30:00,BUY,000905.XSHG,1000,6504.29,1,1.04381
2021-05-13,14:30:00,SELL,000905.XSHG,1000,6428.77,0.98839,1.03169
2021-05-14,14:30:00,BUY,399006.XSHE,1000,3030.66,1,1.03169
2021-05-18,14:30:00,SELL,399006.XSHE,1000,3083.56,1.01745,1.04969
2021-05-18,14:30:00,BUY,000905.XSHG,1000,6589.58,1,1.04969
2021-05-20,14:30:00,SELL,000905.XSHG,1000,6568.37,0.99678,1.04631
2021-05-20,14:30:00,BUY,399006.XSHE,1000,3154.0,1,1.04631
2021-05-21,14:30:00,SELL,399006.XSHE,1000,3113.79,0.98725,1.03297
2021-05-24,14:30:00,BUY,399006.XSHE,1000,3139.17,1,1.03297
2021-06-02,14:30:00,SELL,399006.XSHE,1000,3240.16,1.03217,1.0662
2021-06-10,14:30:00,BUY,399006.XSHE,1000,3289.12,1,1.0662
2021-06-15,14:30:00,SELL,399006.XSHE,1000,3265.54,0.99283,1.05856
2021-06-18,14:30:00,BUY,399006.XSHE,1000,3254.28,1,1.05856
2021-06-24,14:30:00,SELL,399006.XSHE,1000,3281.45,1.00835,1.0674
2021-06-25,14:30:00,BUY,399006.XSHE,1000,3349.98,1,1.0674
2021-07-02,14:30:00,SELL,399006.XSHE,1000,3343.51,0.99807,1.06534
2021-07-07,14:30:00,BUY,399006.XSHE,1000,3412.72,1,1.06534
2021-07-14,14:30:00,SELL,399006.XSHE,1000,3499.8,1.02552,1.09253
2021-07-14,14:30:00,BUY,000905.XSHG,1000,6917.31,1,1.09253
2021-07-19,14:30:00,SELL,000905.XSHG,1000,6891.95,0.99633,1.08852
2021-07-21,14:30:00,BUY,399006.XSHE,1000,3556.4,1,1.08852
2021-07-22,14:30:00,SELL,399006.XSHE,1000,3532.37,0.99324,1.08116
2021-07-22,14:30:00,BUY,000905.XSHG,1000,7022.29,1,1.08116
2021-07-26,14:30:00,SELL,000905.XSHG,1000,6850.24,0.9755,1.05467
2021-08-02,14:30:00,BUY,399006.XSHE,1000,3488.47,1,1.05467
2021-08-05,14:30:00,SELL,399006.XSHE,1000,3528.42,1.01145,1.06675
2021-08-11,14:30:00,BUY,000905.XSHG,1000,7071.71,1,1.06675
2021-08-16,14:30:00,SELL,000905.XSHG,1000,7050.49,0.997,1.06355
2021-08-23,14:30:00,BUY,000905.XSHG,1000,7026.68,1,1.06355
2021-09-01,14:30:00,SELL,000905.XSHG,1000,7209.65,1.02604,1.09124
2021-09-02,14:30:00,BUY,000905.XSHG,1000,7295.73,1,1.09124
2021-09-14,14:30:00,SELL,000905.XSHG,1000,7579.97,1.03896,1.13375
2021-09-17,14:30:00,BUY,399006.XSHE,1000,3199.76,1,1.13375
2021-09-22,14:30:00,SELL,399006.XSHE,1000,3164.02,0.98883,1.12109
2021-09-23,14:30:00,BUY,000905.XSHG,1000,7505.85,1,1.12109
2021-09-24,14:30:00,SELL,000905.XSHG,1000,7394.12,0.98511,1.1044
2021-09-27,14:30:00,BUY,399006.XSHE,1000,3233.39,1,1.1044
2021-09-28,14:30:00,SELL,399006.XSHE,1000,3211.88,0.99335,1.09706
2021-09-30,14:30:00,BUY,399006.XSHE,1000,3247.13,1,1.09706
2021-10-08,14:30:00,SELL,399006.XSHE,1000,3236.5,0.99673,1.09347
2021-10-08,14:30:00,BUY,000016.XSHG,1000,3252.16,1,1.09347
2021-10-12,14:30:00,SELL,000016.XSHG,1000,3240.63,0.99645,1.08959
2021-10-13,14:30:00,BUY,000016.XSHG,1000,3296.78,1,1.08959
2021-10-18,14:30:00,SELL,000016.XSHG,1000,3224.25,0.978,1.06562
2021-10-18,14:30:00,BUY,399006.XSHE,1000,3267.85,1,1.06562
2021-10-21,14:30:00,SELL,399006.XSHE,1000,3270.16,1.00071,1.06638
2021-10-21,14:30:00,BUY,000016.XSHG,1000,3267.83,1,1.06638
2021-10-25,14:30:00,SELL,000016.XSHG,1000,3309.16,1.01265,1.07987
2021-10-25,14:30:00,BUY,399006.XSHE,1000,3336.15,1,1.07987
2021-10-27,14:30:00,SELL,399006.XSHE,1000,3294.1829,0.98742,1.06629
