Date,PositionIndex,MarketValue
2017-05-23,000016.XSHG,1.7971702722038196
2017-05-24,000016.XSHG,1.7940182570071108
2017-05-25,000016.XSHG,1.8431464749548667
2017-05-26,000016.XSHG,1.841440064836554
2017-05-31,000016.XSHG,1.8473044524483977
2017-06-01,000016.XSHG,1.8602478340008402
2017-06-02,EMPTY,1.8479527392619053
2017-06-05,EMPTY,1.8479527392619053
2017-06-06,EMPTY,1.8479527392619053
2017-06-07,000016.XSHG,1.850784017171291
2017-06-08,000016.XSHG,1.8679206992544137
2017-06-09,000016.XSHG,1.877040394415171
2017-06-12,000016.XSHG,1.8784560333698639
2017-06-13,000300.XSHG,1.8735444672973203
2017-06-14,000905.XSHG,1.8484735886702355
2017-06-15,399006.XSHE,1.8614927479443475
2017-06-16,000905.XSHG,1.8573261705631974
2017-06-19,000905.XSHG,1.8710437583288235
2017-06-20,000905.XSHG,1.8739750780292468
2017-06-21,000905.XSHG,1.8774623909289074
2017-06-22,EMPTY,1.8673834697671785
2017-06-23,000300.XSHG,1.878761163737834
2017-06-26,000300.XSHG,1.9022062660356158
2017-06-27,000300.XSHG,1.905644466173512
2017-06-28,000905.XSHG,1.8944873367625799
2017-06-29,000905.XSHG,1.9040683929906022
2017-06-30,000300.XSHG,1.9086175596834376
2017-07-03,EMPTY,1.899368041292586
2017-07-04,EMPTY,1.899368041292586
2017-07-05,000300.XSHG,1.9006612271601013
2017-07-06,000016.XSHG,1.899683949493216
2017-07-07,000905.XSHG,1.892720351107357
2017-07-10,000905.XSHG,1.8868075095235757
2017-07-11,EMPTY,1.8735256561150715
2017-07-12,000016.XSHG,1.8727809651491
2017-07-13,000016.XSHG,1.8989254587681574
2017-07-14,000016.XSHG,1.9150093234547767
2017-07-17,000016.XSHG,1.9211639752617762
2017-07-18,EMPTY,1.911402682894091
2017-07-19,000016.XSHG,1.9117839046412135
2017-07-20,000016.XSHG,1.9172217091850763
2017-07-21,000016.XSHG,1.8983476362709282
2017-07-24,000016.XSHG,1.9092592096744203
2017-07-25,EMPTY,1.9028647543311739
2017-07-26,EMPTY,1.9028647543311739
2017-07-27,EMPTY,1.9028647543311739
2017-07-28,EMPTY,1.9028647543311739
2017-07-31,000905.XSHG,1.9063335670778732
2017-08-01,000905.XSHG,1.9028647543311739
2017-08-02,000905.XSHG,1.8923675094746701
2017-08-03,EMPTY,1.8950614390947074
2017-08-04,EMPTY,1.8950614390947074
2017-08-07,000905.XSHG,1.8996029445591227
2017-08-08,399006.XSHE,1.906072921000766
2017-08-09,399006.XSHE,1.9067542716097188
2017-08-10,399006.XSHE,1.896609718098645
2017-08-11,EMPTY,1.8865084249436948
2017-08-14,399006.XSHE,1.891148036962024
2017-08-15,399006.XSHE,1.896515224501409
2017-08-16,399006.XSHE,1.9245848772123004
2017-08-17,399006.XSHE,1.933241971455592
2017-08-18,399006.XSHE,1.921010267043633
2017-08-21,EMPTY,1.9268941386486962
2017-08-22,EMPTY,1.9268941386486962
2017-08-23,EMPTY,1.9268941386486962
2017-08-24,EMPTY,1.9268941386486962
2017-08-25,000016.XSHG,1.9291467488112253
2017-08-28,399006.XSHE,1.9452454049415435
2017-08-29,000016.XSHG,1.9396688324868159
2017-08-30,000016.XSHG,1.9319501808441022
2017-08-31,EMPTY,1.921859283054316
2017-09-01,EMPTY,1.921859283054316
2017-09-04,EMPTY,1.921859283054316
2017-09-05,000016.XSHG,1.9228595066927956
2017-09-06,399006.XSHE,1.9159905385959486
2017-09-07,399006.XSHE,1.903424421318967
2017-09-08,EMPTY,1.893003001942624
2017-09-11,000905.XSHG,1.8998084086032847
2017-09-12,000905.XSHG,1.8982027668974528
2017-09-13,000905.XSHG,1.9097365312505543
2017-09-14,000905.XSHG,1.9062509745225922
2017-09-15,EMPTY,1.8932315630395393
2017-09-18,EMPTY,1.8932315630395393
2017-09-19,EMPTY,1.8932315630395393
2017-09-20,000905.XSHG,1.8969872887395873
2017-09-21,EMPTY,1.880788064305041
2017-09-22,EMPTY,1.880788064305041
2017-09-25,EMPTY,1.880788064305041
2017-09-26,EMPTY,1.880788064305041
2017-09-27,EMPTY,1.880788064305041
2017-09-28,EMPTY,1.880788064305041
2017-09-29,EMPTY,1.880788064305041
2017-10-09,000300.XSHG,1.8819708980495424
2017-10-10,399006.XSHE,1.8905178626737733
2017-10-11,000300.XSHG,1.8763737281695725
2017-10-12,000300.XSHG,1.8813066320002685
2017-10-13,000016.XSHG,1.882589392343411
2017-10-16,000300.XSHG,1.889292019914238
2017-10-17,000300.XSHG,1.889108567725615
2017-10-18,000300.XSHG,1.9041178533684961
2017-10-19,000300.XSHG,1.897885306644482
2017-10-20,EMPTY,1.896210098501002
2017-10-23,EMPTY,1.896210098501002
2017-10-24,000016.XSHG,1.8955148503761932
2017-10-25,000300.XSHG,1.898289839899473
2017-10-26,000016.XSHG,1.9057063099820506
2017-10-27,000016.XSHG,1.9354365498127728
2017-10-30,000016.XSHG,1.931887902171632
2017-10-31,EMPTY,1.921867786642286
2017-11-01,EMPTY,1.921867786642286
2017-11-02,EMPTY,1.921867786642286
2017-11-03,EMPTY,1.921867786642286
2017-11-06,000300.XSHG,1.9269236435394757
2017-11-07,000300.XSHG,1.9429106943537173
2017-11-08,000016.XSHG,1.9411622166298461
2017-11-09,000300.XSHG,1.9480312588141413
2017-11-10,000016.XSHG,1.9660312913147469
2017-11-13,000016.XSHG,1.9737035348371745
2017-11-14,EMPTY,1.9622878958628907
2017-11-15,EMPTY,1.9622878958628907
2017-11-16,000016.XSHG,1.9681320052763496
2017-11-17,000016.XSHG,2.0087331864645885
2017-11-20,000016.XSHG,2.0103394621513284
2017-11-21,000016.XSHG,2.041795124748681
2017-11-22,000016.XSHG,2.0590130330673975
2017-11-23,EMPTY,2.0231144802726786
2017-11-24,EMPTY,2.0231144802726786
2017-11-27,EMPTY,2.0231144802726786
2017-11-28,EMPTY,2.0231144802726786
2017-11-29,EMPTY,2.0231144802726786
2017-11-30,EMPTY,2.0231144802726786
2017-12-01,EMPTY,2.0231144802726786
2017-12-04,EMPTY,2.0231144802726786
2017-12-05,EMPTY,2.0231144802726786
2017-12-06,EMPTY,2.0231144802726786
2017-12-07,EMPTY,2.0231144802726786
2017-12-08,EMPTY,2.0231144802726786
2017-12-11,399006.XSHE,2.0245741507905355
2017-12-12,399006.XSHE,2.0041944761557247
2017-12-13,EMPTY,2.0042947588630584
2017-12-14,EMPTY,2.0042947588630584
2017-12-15,EMPTY,2.0042947588630584
2017-12-18,EMPTY,2.0042947588630584
2017-12-19,000016.XSHG,2.008048015126038
2017-12-20,000016.XSHG,2.0126679450884755
2017-12-21,399006.XSHE,2.02080042445746
2017-12-22,000905.XSHG,2.010179570988622
2017-12-25,EMPTY,1.988274213811429
2017-12-26,EMPTY,1.988274213811429
2017-12-27,EMPTY,1.988274213811429
2017-12-28,EMPTY,1.988274213811429
2017-12-29,EMPTY,1.988274213811429
2018-01-02,000016.XSHG,1.9890742938889372
2018-01-03,000016.XSHG,1.9921720398300582
2018-01-04,000300.XSHG,1.998647293817304
2018-01-05,000905.XSHG,2.0045890113735587
2018-01-08,000905.XSHG,2.0136260225697935
2018-01-09,000905.XSHG,2.013491701283434
2018-01-10,000016.XSHG,2.0020534161433767
2018-01-11,000300.XSHG,2.0029265513711128
2018-01-12,000300.XSHG,2.012170629933719
2018-01-15,000016.XSHG,2.0125194310041015
2018-01-16,000016.XSHG,2.022453935757304
2018-01-17,000016.XSHG,2.0305863675552747
2018-01-18,000016.XSHG,2.0506336040572526
2018-01-19,000016.XSHG,2.0580729308724415
2018-01-22,000016.XSHG,2.066330781667296
2018-01-23,000016.XSHG,2.0968075979101775
2018-01-24,000016.XSHG,2.099335780847371
2018-01-25,000016.XSHG,2.084239294222405
2018-01-26,000016.XSHG,2.09435202597118
2018-01-29,EMPTY,2.0687071416082614
2018-01-30,EMPTY,2.0687071416082614
2018-01-31,EMPTY,2.0687071416082614
2018-02-01,000016.XSHG,2.085571078792527
2018-02-02,000016.XSHG,2.091154768230309
2018-02-05,000016.XSHG,2.1122014929839006
2018-02-06,EMPTY,2.0615432879776225
2018-02-07,EMPTY,2.0615432879776225
2018-02-08,EMPTY,2.0615432879776225
2018-02-09,EMPTY,2.0615432879776225
2018-02-12,EMPTY,2.0615432879776225
2018-02-13,EMPTY,2.0615432879776225
2018-02-14,EMPTY,2.0615432879776225
2018-02-22,EMPTY,2.0615432879776225
2018-02-23,EMPTY,2.0615432879776225
2018-02-26,399006.XSHE,2.0638946585801747
2018-02-27,399006.XSHE,2.0810704062810497
2018-02-28,399006.XSHE,2.0931137206870147
2018-03-01,399006.XSHE,2.136345519278099
2018-03-02,399006.XSHE,2.1150518890499117
2018-03-05,399006.XSHE,2.1433160798460706
2018-03-06,399006.XSHE,2.145607770991705
2018-03-07,399006.XSHE,2.13087888102445
